,Adj Close,Adj Close,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA
Date,,,,,,,,,,,,,,,,
2011-01-03,9.928852081298828,1.7746670246124268,11.770357131958008,1.7746670246124268,0.0,0.0,11.795000076293945,1.7999999523162842,11.601428985595703,1.726667046546936,11.630000114440918,1.7893329858779907,0.0,0.0,445138400,19245000.0
2011-01-04,9.980669975280762,1.777999997138977,11.831786155700684,1.777999997138977,0.0,0.0,11.875,1.7966669797897339,11.719642639160156,1.7346669435501099,11.872857093811035,1.7773330211639404,0.0,0.0,309080800,17811000.0
2011-01-05,10.062313079833984,1.7886669635772705,11.928570747375488,1.7886669635772705,0.0,0.0,11.940713882446289,1.7933330535888672,11.76785659790039,1.746000051498413,11.76964282989502,1.7653330564498901,0.0,0.0,255519600,21700500.0
2011-01-06,10.054179191589355,1.858667016029358,11.918929100036621,1.858667016029358,0.0,0.0,11.973214149475098,1.8666670322418213,11.889286041259766,1.7873330116271973,11.954285621643066,1.7886669635772705,0.0,0.0,300428800,30918000.0
2011-01-07,10.126182556152344,1.8826669454574585,12.00428581237793,1.8826669454574585,0.0,0.0,12.012499809265137,1.9053330421447754,11.853570938110352,1.8600000143051147,11.928214073181152,1.8666670322418213,0.0,0.0,311931200,33718500.0
2011-01-10,10.31688404083252,1.8966670036315918,12.23035717010498,1.8966670036315918,0.0,0.0,12.258213996887207,1.9119999408721924,12.041786193847656,1.8700000047683716,12.10107135772705,1.878000020980835,0.0,0.0,448560000,20140500.0
2011-01-11,10.292479515075684,1.797333002090454,12.20142936706543,1.797333002090454,0.0,0.0,12.319999694824219,1.9140000343322754,12.123929023742676,1.7946670055389404,12.317143440246582,1.906000018119812,0.0,0.0,444108000,25653000.0
2011-01-12,10.37623405456543,1.797333002090454,12.300713539123535,1.797333002090454,0.0,0.0,12.301071166992188,1.8266669511795044,12.214285850524902,1.7680000066757202,12.258929252624512,1.8006670475006104,0.0,0.0,302590400,14466000.0
2011-01-13,10.414194107055664,1.7480000257492065,12.34571361541748,1.7480000257492065,0.0,0.0,12.380000114440918,1.7979999780654907,12.280357360839844,1.74399995803833,12.327142715454102,1.797333002090454,0.0,0.0,296780400,10854000.0
2011-01-14,10.498546600341797,1.7166670560836792,12.445713996887207,1.7166670560836792,0.0,0.0,12.445713996887207,1.7719999551773071,12.30142879486084,1.707332968711853,12.353214263916016,1.7433329820632935,0.0,0.0,308840000,17880000.0
2011-01-18,10.262660026550293,1.7093329429626465,12.166070938110352,1.7093329429626465,0.0,0.0,12.312856674194336,1.7093329429626465,11.64285659790039,1.649999976158142,11.768570899963379,1.698667049407959,0.0,0.0,1880998000,24325500.0
2011-01-19,10.20812702178955,1.6019999980926514,12.101428985595703,1.6019999980926514,0.0,0.0,12.449999809265137,1.6979999542236328,12.031429290771484,1.5833330154418945,12.441070556640625,1.6846669912338257,0.0,0.0,1135612800,35572500.0
2011-01-20,10.022550582885742,1.5080000162124634,11.881428718566895,1.5080000162124634,0.0,0.0,12.08214282989502,1.6299999952316284,11.789999961853027,1.4913330078125,12.01535701751709,1.6019999980926514,0.0,0.0,764789200,34198500.0
2011-01-21,9.842992782592773,1.5360000133514404,11.668571472167969,1.5360000133514404,0.0,0.0,11.960000038146973,1.5726670026779175,11.665356636047363,1.5140000581741333,11.920356750488281,1.5413329601287842,0.0,0.0,754401200,18255000.0
2011-01-24,10.166251182556152,1.6326669454574585,12.051786422729492,1.6326669454574585,0.0,0.0,12.051786422729492,1.6540000438690186,11.668571472167969,1.5486669540405273,11.673929214477539,1.5686670541763306,0.0,0.0,574683200,24676500.0
2011-01-25,10.285248756408691,1.6453330516815186,12.192856788635254,1.6453330516815186,0.0,0.0,12.194286346435547,1.6593329906463623,11.948928833007812,1.6013330221176147,12.011786460876465,1.6433329582214355,0.0,0.0,546868000,19072500.0
2011-01-26,10.359062194824219,1.649999976158142,12.280357360839844,1.649999976158142,0.0,0.0,12.342857360839844,1.658666968345642,12.196429252624512,1.6066670417785645,12.248571395874023,1.647333025932312,0.0,0.0,506875600,16198500.0
2011-01-27,10.339776039123535,1.6613329648971558,12.257499694824219,1.6613329648971558,0.0,0.0,12.310357093811035,1.6720000505447388,12.243928909301758,1.6353329420089722,12.277856826782227,1.6493330001831055,0.0,0.0,285026000,13435500.0
